Security Code,Security Id,Security Name,Group,Face Value,ISIN No,Industry
505160,TALBROAUTO,TALBROS AUTOMOTIVE COMPONENTS LTD.,B ,10,INE187D01011,Auto Parts & Equipment
505163,ZFSTEERING,Z.F.STEERING GEAR (INDIA) LTD.-$,X ,10,INE116C01012,Auto Parts & Equipment
505192,SMLISUZU,SML ISUZU LIMITED,B ,10,INE294B01019,Commercial Vehicles
505196,TIL,TIL LTD.,B ,10,INE806C01018,Transport Related Services
505200,EICHERMOT,EICHER MOTORS LTD.,A ,10,INE066A01013,2/3 Wheelers
505212,JAINEX,JAINEX AAMCOL LTD.,XT,10,INE280F01019,Auto Parts & Equipment
505216,ALFREDHE,ALFRED HERBERT (INDIA) LTD.,X ,10,INE782D01027,Finance (including NBFCs)
505230,CIMMCO,CIMMCO LTD.,B ,10,INE184C01028,Diversified
505232,VELJAN,Veljan Denison Limited,X ,10,INE232E01013,Auto Parts & Equipment
505242,DYNAMATECH,DYNAMATIC TECHNOLOGIES LTD.-$,B ,10,INE221B01012,Industrial Machinery
505250,GGDANDE,G.G.DANDEKAR MACHINE WORKS LTD.,X ,1,INE631D01026,Industrial Machinery
505255,GMM,GMM PFAUDLER LTD.,B ,2,INE541A01023,Industrial Machinery
505283,KIRLPNU,KIRLOSKAR PNEUMATIC CO.LTD.,X ,2,INE811A01020,Industrial Machinery
505285,TULIVE,Tulive Developers Limited,XT,10,INE637D01015,Other Industrial Goods
505299,KPT,KPT Industries Ltd,X ,5,INE731D01024,Industrial Machinery
505302,LXMIATO,LAKSHMI AUTOMATIC LOOM WORKS LTD.,X ,10,INE718M01014,Industrial Machinery
505320,LYNMC,LYNX MACHINERY & COMMERCIALS LTD.,X ,10,INE732D01014,Industrial Machinery
505324,MANUGRAPH,MANUGRAPH INDIA LTD.-$,B ,2,INE867A01022,Industrial Machinery
505336,MIRCH,Mirch Technologies (India) Ltd,XT,10,INE098E01018,Industrial Machinery
505355,NESCO,NESCO LTD.,A ,2,INE317F01035,Diversified Commercial Services
505358,INTEGRAEN,INTEGRA ENGINEERING INDIA LTD.,X ,1,INE984B01023,Industrial Machinery
505368,REVATHI,REVATHI EQUIPMENT LTD.-$,B ,10,INE617A01013,Industrial Machinery
505400,TEXINFRA,TEXMACO INFRASTRUCTURE & HOLDINGS LTD.,B ,1,INE435C01024,Realty
505412,WENDT,WENDT (INDIA) LTD.,B ,10,INE274C01019,Industrial Machinery
505504,SINDUVA,SINDU VALLEY TECHNOLOGIES LTD.,P ,10, ,IT Consulting & Software
505506,AXONVL,Axon Ventures Ltd,X ,10,INE663D01011,IT Software Products
505509,RESPONIND,RESPONSIVE INDUSTRIES LTD.,A ,1,INE688D01026,Furniture-Furnishing-Paints
505515,SHYMINV,SHYAMKAMAL INVESTMENTS LTD.,XT,10,INE203N01015,Other Financial Services
505523,MAHACORP,MAHARASHTRA CORPORATION LTD.,X ,1,INE272E01027,Comm.Trading  & Distribution
505526,DOLAT,DOLAT INVESTMENTS LTD.,B ,1,INE966A01022,Investment Companies
505533,WESTLIFE,WESTLIFE DEVELOPMENT LTD.,A ,2,INE274F01020,Restaurants
